episode,reward,rate_avg,hops_avg,ho_avg,q_spread,uniq_sat,beam_avg,rew_rate,rew_ho,loss,q_gap_avg,q_gap_noise,n_valid
108,35.5637,243,3.4,0.493,0.1714,80,0.029,0.37,-0.76,0.0659,0.1075,0.062,7.7
109,37.9817,238,3.4,0.467,0.1695,77,0.030,0.37,-0.80,0.0721,0.1022,0.061,7.7
110,50.8106,278,3.5,0.487,0.1745,73,0.032,0.43,-0.77,0.0766,0.1066,0.060,7.8
111,37.9866,284,3.4,0.440,0.1786,77,0.030,0.44,-0.84,0.0790,0.1051,0.060,7.8
112,35.1122,290,3.4,0.500,0.1786,81,0.029,0.45,-0.75,0.0739,0.1092,0.051,7.9
113,34.3961,266,3.4,0.387,0.1805,80,0.029,0.41,-0.92,0.0669,0.1092,0.051,7.8
114,44.5653,243,3.3,0.567,0.1870,86,0.027,0.37,-0.65,0.0671,0.1159,0.052,7.8
115,61.6192,336,3.2,0.373,0.1883,82,0.029,0.52,-0.94,0.0694,0.1157,0.060,7.7
116,29.7524,274,3.3,0.547,0.1948,83,0.028,0.42,-0.68,0.0747,0.1198,0.061,7.8
117,47.9837,274,3.4,0.393,0.1963,83,0.028,0.42,-0.91,0.0682,0.1207,0.053,7.8
118,30.7399,247,3.5,0.520,0.1947,89,0.026,0.38,-0.72,0.0657,0.1197,0.054,7.8
119,37.1738,273,3.4,0.433,0.1967,83,0.028,0.42,-0.85,0.0678,0.1241,0.053,7.8
120,31.4688,261,3.4,0.493,0.2004,84,0.028,0.40,-0.76,0.0663,0.1277,0.044,7.7
121,38.2838,254,3.5,0.433,0.2017,82,0.029,0.39,-0.85,0.0642,0.1296,0.036,7.7
122,37.4450,286,3.4,0.520,0.2040,78,0.030,0.44,-0.72,0.0906,0.1282,0.036,7.7
123,34.5301,253,3.4,0.433,0.2061,79,0.030,0.39,-0.85,0.0692,0.1274,0.035,7.8
124,41.5820,265,3.4,0.507,0.2080,85,0.028,0.41,-0.74,0.0692,0.1275,0.037,7.7
125,20.2751,251,3.3,0.440,0.2067,83,0.028,0.39,-0.84,0.0825,0.1276,0.036,7.7
126,35.9806,246,3.3,0.507,0.2050,76,0.031,0.38,-0.74,0.0855,0.1294,0.035,7.7
127,39.3346,260,3.4,0.427,0.2061,80,0.029,0.40,-0.86,0.0683,0.1280,0.027,7.7
128,25.1502,282,3.4,0.507,0.2183,81,0.029,0.43,-0.74,0.0702,0.1327,0.035,7.7
129,26.4179,202,3.5,0.447,0.2184,81,0.029,0.31,-0.83,0.0703,0.1290,0.035,7.8
130,33.0880,295,3.3,0.473,0.2201,83,0.028,0.45,-0.79,0.0767,0.1300,0.035,7.8
