episode,reward,rate_avg,hops_avg,ho_avg,q_spread,uniq_sat,beam_avg,rew_rate,rew_ho,loss,q_gap_avg,q_gap_noise,n_valid
129,39.8361,309,3.3,0.440,0.3034,62,0.025,0.47,-0.84,0.1014,0.1714,0.000,7.9
130,33.8851,292,3.4,0.510,0.3016,66,0.024,0.45,-0.73,0.0944,0.1797,0.000,7.9
131,30.2459,288,3.3,0.470,0.3091,66,0.024,0.44,-0.80,0.0929,0.1760,0.012,8.0
132,30.4091,345,3.3,0.490,0.3090,63,0.025,0.53,-0.77,0.0831,0.1663,0.025,7.9
133,22.3768,278,3.3,0.410,0.3123,66,0.024,0.43,-0.89,0.0763,0.1684,0.025,7.9
134,23.0665,306,3.4,0.520,0.3142,66,0.024,0.47,-0.72,0.0854,0.1696,0.025,7.9
135,28.0229,267,3.4,0.390,0.3167,66,0.024,0.41,-0.92,0.0895,0.1718,0.037,7.9
136,35.1259,307,3.2,0.520,0.3227,69,0.023,0.47,-0.72,0.0816,0.1742,0.037,8.0
137,36.8633,313,3.2,0.420,0.3249,62,0.025,0.48,-0.87,0.0876,0.1757,0.037,8.0
138,40.3624,322,3.3,0.500,0.3203,68,0.023,0.50,-0.75,0.0878,0.1632,0.037,7.9
139,26.2040,362,3.5,0.510,0.3269,65,0.024,0.56,-0.73,0.0863,0.1654,0.037,7.9
140,32.7923,289,3.5,0.440,0.3258,67,0.023,0.44,-0.84,0.0783,0.1689,0.037,7.9
141,33.1375,311,3.4,0.520,0.3222,62,0.025,0.48,-0.72,0.0746,0.1611,0.037,8.0
142,37.0652,343,3.3,0.410,0.3214,60,0.026,0.53,-0.89,0.1127,0.1663,0.025,7.9
143,40.4109,366,3.3,0.550,0.3212,68,0.023,0.56,-0.67,0.0964,0.1697,0.037,7.9
144,31.4749,341,3.4,0.450,0.3206,58,0.027,0.52,-0.83,0.0871,0.1703,0.037,7.8
145,28.4190,272,3.5,0.470,0.3235,62,0.025,0.42,-0.80,0.0841,0.1654,0.037,7.8
146,43.4310,327,3.5,0.500,0.3157,64,0.024,0.50,-0.75,0.0925,0.1592,0.035,7.7
