episode,reward,rate_avg,hops_avg,ho_avg,q_spread,uniq_sat,beam_avg,rew_rate,rew_ho,loss,q_gap_avg,q_gap_noise,n_valid
182,23.1022,242,3.3,0.460,0.2821,78,0.030,0.37,-0.81,0.0963,0.1306,0.049,7.7
183,34.5682,217,3.3,0.447,0.2722,81,0.029,0.33,-0.83,0.0940,0.1309,0.050,7.7
184,45.2271,324,3.4,0.447,0.2699,79,0.030,0.50,-0.83,0.0853,0.1242,0.050,7.8
185,20.5379,261,3.4,0.480,0.2651,84,0.028,0.40,-0.78,0.0739,0.1219,0.068,7.8
186,43.7404,249,3.4,0.447,0.2664,85,0.028,0.38,-0.83,0.0745,0.1202,0.067,7.9
187,31.2145,254,3.4,0.507,0.2646,83,0.028,0.39,-0.74,0.0752,0.1161,0.067,7.9
188,33.0608,252,3.3,0.453,0.2658,81,0.029,0.39,-0.82,0.0772,0.1188,0.066,7.9
189,33.9917,244,3.3,0.487,0.2669,79,0.030,0.38,-0.77,0.0747,0.1181,0.068,7.9
190,32.2511,229,3.4,0.467,0.2636,81,0.029,0.35,-0.80,0.0825,0.1188,0.043,7.8
191,38.1931,234,3.5,0.467,0.2610,76,0.031,0.36,-0.80,0.0814,0.1150,0.044,7.8
192,50.0307,293,3.5,0.513,0.2584,77,0.030,0.45,-0.73,0.0800,0.1105,0.062,7.6
193,42.5752,287,3.4,0.453,0.2596,84,0.028,0.44,-0.82,0.0799,0.1149,0.055,7.7
194,47.5942,284,3.3,0.467,0.2437,84,0.028,0.44,-0.80,0.0703,0.1095,0.064,7.7
195,38.4636,251,3.2,0.480,0.2381,79,0.030,0.39,-0.78,0.0701,0.1111,0.062,7.7
196,26.8961,221,3.3,0.447,0.2339,83,0.028,0.34,-0.83,0.0721,0.1075,0.059,7.8
197,38.3969,258,3.4,0.500,0.2331,79,0.030,0.40,-0.75,0.0720,0.1164,0.051,7.8
198,55.9480,280,3.3,0.420,0.2347,82,0.029,0.43,-0.87,0.0752,0.1139,0.068,7.7
199,45.2604,325,3.2,0.467,0.2369,77,0.030,0.50,-0.80,0.0753,0.1188,0.060,7.7
200,35.6764,299,3.3,0.467,0.2371,80,0.029,0.46,-0.80,0.0759,0.1156,0.059,7.8
201,46.3903,275,3.4,0.460,0.2386,81,0.029,0.42,-0.81,0.0747,0.1192,0.041,7.7
202,31.9150,255,3.5,0.507,0.2385,83,0.028,0.39,-0.74,0.0965,0.1204,0.048,7.7
203,40.7593,243,3.4,0.440,0.2346,81,0.029,0.37,-0.84,0.0842,0.1224,0.058,7.8
204,37.0011,244,3.4,0.480,0.2399,82,0.029,0.38,-0.78,0.0805,0.1197,0.076,7.8
205,53.2685,287,3.4,0.460,0.2430,89,0.026,0.44,-0.81,0.0744,0.1242,0.074,7.8
206,35.3110,274,3.4,0.473,0.2423,81,0.029,0.42,-0.79,0.0783,0.1221,0.082,7.9
207,47.1550,301,3.3,0.533,0.2448,76,0.031,0.46,-0.70,0.0723,0.1205,0.084,8.0
208,46.1286,308,3.3,0.427,0.2443,79,0.030,0.47,-0.86,0.0700,0.1221,0.077,7.8
209,18.8452,263,3.2,0.527,0.2468,80,0.029,0.40,-0.71,0.0791,0.1172,0.086,7.8
210,42.8177,292,3.2,0.440,0.2502,83,0.028,0.45,-0.84,0.0825,0.1246,0.071,7.7
211,35.9826,295,3.4,0.487,0.2496,80,0.029,0.45,-0.77,0.0788,0.1207,0.052,7.7
212,26.7233,223,3.4,0.460,0.2480,76,0.031,0.34,-0.81,0.0767,0.1157,0.060,7.7
213,41.9544,252,3.3,0.467,0.2535,76,0.031,0.39,-0.80,0.0798,0.1155,0.061,7.7
214,46.3151,280,3.3,0.440,0.2525,81,0.029,0.43,-0.84,0.0743,0.1109,0.061,7.7
215,44.1963,299,3.3,0.440,0.2545,78,0.030,0.46,-0.84,0.0707,0.1131,0.054,7.7
216,36.3284,280,3.3,0.473,0.2564,81,0.029,0.43,-0.79,0.0743,0.1203,0.044,7.8
